id,genre,title,author,publisher,edition
125,Math,Ten Inch Hero,Marna,Albrecht,4
126,Health,"Bells of St. Mary's, The",Broderic,Micky,1
127, Spirituality & New Age,Dante's Inferno Animated,Tanny,Orazio,3
128,Self help,Blue Juice,Ettore,Jourdain,1
129,Guide,"Grass Harp, The",Abdul,Brinna,5
130,Health,"Avenging Conscience, The",Jephthah,Dorena,5
131,horror,"Rutles 2: Can't Buy Me Lunch, The",Eal,Sarajane,3
132,Art,Kind Lady,Gene,Walther,1
133,Anthology,The Dark Knight,Blondie,Gar,5
134,Art,One Spy Too Many,Ewan,Prince,3
135,biography,Diana Vreeland: The Eye Has to Travel,Em,Glenden,2
136,Cookbooks,Starflight: The Plane That Couldn't Land,Tine,Danie,4
137,Health,"Three Musketeers, The",Tore,Rosie,4
138,Travel,"Brief Vacation, A (breve vacanza, Una)",Catriona,Nikoletta,1
139,Dictionaries,Tulpan,Zacharia,Redford,3
140,Drama,"Quiet, The",Ignatius,Filip,3
141,Travel,Children of the Corn,Sophie,Bell,3
142,Mystery,Pure,Lodovico,Robbi,3
143,Science fiction,Downloaded,Sammy,Nisse,1
144,Math,Shy People,Cyrillus,Liam,3
145,Dictionaries,Valmont,Rebekkah,Robby,3
146,Drama,Two Deaths,Olympia,Elianora,2
147,Guide,"Adventures of Hajji Baba, The",Calla,Perice,2
148,biography,Heaven Is for Real,Margarette,Benny,5
149,Poetry,Dying Breed,Beniamino,Sayer,4
150,Comics,Idol of the Crowds,Carlita,Randie,4
151,Science fiction,"OSS 117: Cairo, Nest of Spies (OSS 117: Le Caire nid d'espions)",Axel,Elonore,5
152,Religion,Reclaim Your Brain (Free Rainer),Blake,Stephanus,3
153,History,Apartment Zero,Frank,Bendicty,1
154,Math,White God (Fehér isten),Lind,Elisha,1
155,Drama,Zulu,Katey,Jamima,4
156,Encyclopedias,Police Academy 6: City Under Siege,Teddi,Dougy,4
157,Mystery,American Raspberry (Prime Time) (Funny America),Glen,Harper,4
158, Spirituality & New Age,"Love Song for Bobby Long, A",Barbara-anne,Kassandra,2
159,Self help,"Woman in The Septic Tank, The (Ang Babae sa septic tank)",Dietrich,Erica,2
160,Cookbooks,Surplus: Terrorized Into Being Consumers,Noelyn,Xylina,2
161,Horror,"Tiger from Tjampa, The (Harimau Tjampa)",Alice,Lucilia,2
162,Poetry,Blade of the Ripper,Zea,Astrix,5
163,horror,Daisy Miller,Magdalen,Jenn,5
164,Math,Mélo,Toddy,Jorrie,2
165,Dictionaries,Fierce Light: When Spirit Meets Action,Bondon,Dudley,5
166,horror,Act Da Fool,Juli,Mike,4
167,Poetry,"Day the Sun Turned Cold, The (Tianguo niezi)",Christa,Astrid,1
168,Horror,In My Country (a.k.a. Country of My Skull),Gallard,Gerrard,5
169,biography,Light It Up,Lannie,Daphna,1
170,Religion,"War Lord, The",Dorisa,Sandor,4
171, Spirituality & New Age,"Maxed Out: Hard Times, Easy Credit and the Era of Predatory Lenders",Terra,Gabi,3
172,Mystery,Monster-in-Law,Florry,Aksel,3
173,Dictionaries,All the Colors of the Dark,Westley,Sherwynd,5
174,Dictionaries,"Great Rock 'n' Roll Swindle, The",Nara,Romy,1
175,Action and Adventure,In Fear,Cyrill,Rodrigo,2
176,Health,Zoo,Renata,Thatcher,2
177,Travel,"Girl Can't Help It, The",Barnebas,Mar,4
178,Action and Adventure,Stage Struck,Hermon,Bobine,3
179,Horror,Women Robbers (Diebinnen),Morgan,Quintilla,4
180,Diaries,Paragraph 175,Bobette,Mallissa,1
181, Spirituality & New Age,Funny Bones,Sib,Drusi,5
182, Spirituality & New Age,"Homem Que Desafiou o Diabo, O",Cybil,Kevyn,2
183,Dictionaries,You Got Served,Falkner,Car,3
184,Religion,1001 Nights,Adelice,Cornie,4
185,Satire,Ghosts of Girlfriends Past,Findlay,Glen,3
186,academic,Britannia Hospital,Towny,Shandy,4
187,Drama,First Love,Geordie,Ilaire,3
188,Science fiction,Dumb and Dumberer: When Harry Met Lloyd,Robinet,Guillaume,5
189,Health,Pirates of the Great Salt Lake,Alric,Chad,3
190,Poetry,"Man Escaped, A (Un  condamné à mort s'est échappé ou Le vent souffle où il veut)",Myrtia,Spencer,4
191,Self help,Let No Man Write My Epitaph,Chloris,Stormy,1
192,Poetry,Hotel Reserve,Krispin,Prudi,3
193,Travel,Ffolkes,Adolphus,Paton,3
194, Spirituality & New Age,We Are Legion: The Story of the Hacktivists,Nance,Tamar,2
195,Mystery,Big Daddy,Pam,Casi,5
196,Science fiction,Night at the Museum: Secret of the Tomb,Kennie,Eirena,4
197,Anthology,"Confiance règne, La",Kenyon,Kenn,1
198,Travel,Dirty Rotten Scoundrels,Raphael,Cynthia,2
199,Science fiction,"Rose Tattoo, The",Bevvy,Karly,5
200,Science,"Ordeal, The (Calvaire)",Megen,Elyse,1
201,Dictionaries,Casanova,Jerrilee,Ian,1
202,Science fiction,Dealer,Creighton,Chrisse,4
203,Satire,Brokeback Mountain,Corie,Gwenny,4
204,Diaries,Me & Isaac Newton,Starr,Olly,1
205,Journals,Los Marziano,Baxy,Verna,2
206,horror,Make Them Die Slowly (Cannibal Ferox),Bryanty,Olivero,1
207,Action and Adventure,House of Dark Shadows,Cynthy,Whittaker,5
208,Self help,Love Story,Sam,Inglebert,2
209,Satire,Tales from the Darkside: The Movie,Britney,Winny,5
210,Cookbooks,Dragonwyck,Catie,Keen,4
211,Satire,"Day the Earth Stood Still, The",Jolie,Araldo,2
212,Drama,Glitterbug,Ronald,Godwin,3
213,Travel,Mommy,Darill,Luci,5
214,Guide,"Innocent, The",Zachary,Laural,5
215,Children's,Winnie the Pooh and a Day for Eeyore,Dulcie,Dannie,4
216,biography,"Chronicle of Anna Magdalena Bach, The (Chronik der Anna Magdalena Bach)",Josselyn,Homere,4
217,Science fiction,Cinderella,Winona,Myrtie,4
218,Action and Adventure,Banana Joe,Karrah,Hewie,1
219,Journals,Austin Powers: International Man of Mystery,Bryna,Kippy,1
220,Journals,Bianca Beauchamp: All Access,Trever,Thurston,4
221,Encyclopedias,Sparrow (a.k.a. Cultured Bird) (Man jeuk),Carline,Rheba,4
222,Satire,Space Is The Place,Brandea,Johna,3
223,Guide,"Ideal Husband, An",Gran,Stormi,2
224,Science,Deep Water,Jessey,Wes,1
225,Mystery,Sonny Boy,Jobyna,Norina,3
226,Health,Bill Maher: Victory Begins at Home,Ashely,Boy,5
227,horror,Ten Minutes Older,Sansone,Joaquin,4
228,Self help,Play Misty for Me,Renault,Lucas,3
229,Self help,Zombie (a.k.a. Zombie 2: The Dead Are Among Us) (Zombi 2),Minette,Ram,3
230,Self help,Conceiving Ada,Shae,Terence,2
231,Poetry,Edge of Seventeen,Dilly,Moyra,3
232,Art,Theodore Rex,Clarissa,Marley,2
233,Religion,Dark Water,Brear,Ajay,4
234,Science fiction,Winter Kills,Kalindi,Andriette,2
235,biography,Daria: Is It College Yet?,Aguie,Erena,4
236,Children's,"Crazy Stranger, The (Gadjo Dilo)",Merlina,Idette,5
237,History,Accident,Vickie,Theda,3
238,Romance,Genius Within: The Inner Life of Glenn Gould,Kara-lynn,Dorothy,1
239,Anthology,Miracles,Kennie,Meara,4
240,Cookbooks,Felon,Chip,Jared,5
241,Self help,Possible Loves (Amores Possíveis),Taffy,Nelson,4
242,Action and Adventure,Take Shelter,Gerek,Joni,4
243,Guide,Molly Maxwell,Lia,Damian,1
244, Spirituality & New Age,"Big Hit, The",Teodora,Lucine,5
245,Satire,Red Eye,Filippa,Misha,1
246,Mystery,Swimfan,Liam,Clementina,2
247,horror,The Final Girl,Nesta,Ardis,2
248,Science,About Last Night...,Maximilianus,Danica,3
249,Dictionaries,Nuns on the Run,Cecil,Valeria,5
250,Action and Adventure,Battle in Heaven (Batalla en el cielo),Susann,Cy,1
251, Spirituality & New Age,"Henry IV, Part II (Second Part of King Henry the Fourth, including his death and the coronation of King Henry the Fifth, The)",Sandye,Freddie,3
252,biography,Bordertown,Bari,Wallas,3
253,Self help,Diplomatic Siege,Eddi,Lotti,5
254,Religion,Liam,Melvin,Pepillo,5
255,Science fiction,"Raiders of Atlantis, The",Halsey,Jeane,2
256,Anthology,"Diary of a Chambermaid (Journal d'une femme de chambre, Le)",Lynne,Mariette,2
257,Science,Now!,Fanni,Kania,5
258,Religion,The Karen Carpenter Story,Darda,Caleb,3
259,Math,Poor Us: An Animated History of Poverty,Lewie,Jori,3
260,Science fiction,When Animals Dream (Når dyrene drømmer),Jervis,Harmonia,4
261,Anthology,Me and My Sister,Toby,Larissa,5
262,academic,Azumi,Audrye,Papageno,5
263,Drama,Nora's Will (Cinco días sin Nora),Dionisio,Annalise,2
264,Science,Sundown,Seka,Roberta,1
265,Comics,"Royal Scandal, The",Meade,Augie,3
266,Encyclopedias,"Wolf of Wall Street, The",Eugenio,Piotr,4
267,Math,Live Free or Die Hard,Olivette,Theressa,5
268,Children's,Jesse Stone: Innocents Lost,Dion,Jacquelynn,4
269,Art,"Family, The",Caroljean,Simona,1
270,Encyclopedias,One-Eyed Monster,Berky,Katie,4
271,Science fiction,Helicopter String Quartet,Virginie,Britta,1
272,Travel,Leprechaun,Ulick,Phillipe,3
273,Satire,Six Weeks,Boycey,Nerita,4
274,Drama,Making Love,Averil,Barde,2
275,Romance,"Man from the Future, The (O Homem do Futuro)",Harv,Florentia,4
276, Spirituality & New Age,"Perils of Gwendoline in the Land of the Yik Yak, The",Bobby,Geoffrey,5
277,Romance,Punch-Drunk Love,Sianna,Daphna,5
278,Poetry,"Beautician and the Beast, The",Norean,Granthem,3
279,Children's,Past Midnight,Doralynne,Joelly,5
280,Anthology,Wrestling (Bræðrabylta),Moss,Dael,3
281,Horror,Under the Volcano,Kati,Zorina,5
282,Guide,Revenge of the Nerds IV: Nerds in Love,Kendra,Jelene,1
283,Diaries,Crimes and Misdemeanors,Lindsy,Natalie,1
284,Romance,8MM 2,Dierdre,Tobit,2
285,Health,So Big!,Laurette,Eleanora,3
286,Math,American Adobo,Winthrop,Dagny,5
287,Health,"Kidnapping of the President, The",Maybelle,Lauren,2
288,Mystery,Murder on Monday,Katharina,Stephen,1
289,Anthology,Wagner's Dream,Raynell,Myrvyn,2
290,Encyclopedias,Objectified,Betta,Lucina,2
291,Guide,Cosmic Journey,Andrea,Merwin,1
292,Science fiction,"American Tail, An",Dennie,Myrtice,2
293, Spirituality & New Age,"Cold Water (Eau Froide, L')",Kristofer,Prue,1
294, Spirituality & New Age,Rashomon (Rashômon),Faith,Baxter,5
295,Religion,Jesus Is a Palestinian (Jezus is een Palestijn),Rozele,Cordi,2
296,Children's,"Jerky Boys, The",Shellie,Tilly,3
297,Diaries,"Dog of Flanders, A",Sherwin,Broddy,1
298,Drama,Sunes sommar,Erick,Rafa,4
299, Spirituality & New Age,"Match, The",Jeddy,Cesar,3
300,Poetry,Come Early Morning,Alma,Moshe,5
301,Poetry,Maximum Risk,Hirsch,Sandy,3
302,Cookbooks,"History of Violence, A",Wilfrid,Theodora,1
303,Encyclopedias,Dance with a Stranger,Octavia,Burk,1
304,History,Pumpkinhead II: Blood Wings,Farly,Mason,3
305,Drama,Spellbound,Carter,Danica,4
306,biography,Tortilla Soup,Leopold,Shirlee,2
307,Children's,"Game, The",Jackelyn,Colene,1
308,Dictionaries,Beyond Therapy,Erie,Nola,4
309,Science,"Island, The",Claudianus,Bella,5
310,Health,Zorro,Demetre,Mireille,1
311,Guide,"Tender Trap, The",Alissa,Etti,3
312,Health,What? (Che?),Timmy,Tynan,4
313,Dictionaries,Woman Obsessed,Aldin,Issie,3
314,Art,Amistad,Kalindi,Teador,4
315,Anthology,Still Bill,Ive,Mariya,2
316,Action and Adventure,To Tulsa and Back: On Tour with J.J. Cale,Delcina,Brok,5
317,Travel,Yamakasi - Les samouraïs des temps modernes,Denys,Sharl,2
318,Religion,Steam,Kristyn,Edie,1
319,biography,Frank and Ollie,Jermain,Essie,1
320,Health,Outrageous Fortune,Katine,Keen,2
321,Math,"Housemaid, The (Hanyo)",Gram,Flora,2
322,Science,Dobermann,Pamella,Ketty,1
323,Health,Baraka,Reina,Reeva,5
324, Spirituality & New Age,Jumbo (Billy Rose's Jumbo),Idette,Robina,2
325,Satire,Le crocodile du Botswanga,Carlyn,Truda,1
326,Science,Nicholas and Alexandra,Eddy,Kassia,4
327,Guide,Honey (Miele),Timmie,Gale,4
328,Guide,Safe,Ossie,Gherardo,3
329,Poetry,Snow Falling on Cedars,Ruddie,Gerladina,3
330,Dictionaries,"Rise of Catherine the Great, The",Pinchas,Germaine,3
331,Guide,White Elephant,Gauthier,Stefania,3
332,Math,Beautiful Boy,Austin,Estel,2
333,Travel,Operation Dumbo Drop,Chrissie,Mendel,4
334,academic,Breakfast on Pluto,Judye,Gordan,4
335,biography,"Italian Straw Hat, The (Un chapeau de paille d'Italie)",Sacha,Rahel,4
336,Horror,"Return of Jafar, The",Orson,Kimble,2
337,Dictionaries,Holiday for Drumsticks,Andres,Dru,4
338,Children's,All Things Fair (Lust och fägring stor),Tandie,Elena,2
339,History,Land of the Dead,Joly,Shane,4
340,Dictionaries,Revolution OS,Florri,Katleen,1
341,Science,Must Read After My Death,Shaine,Vilma,4
342,Anthology,Havoc,Hanni,Ash,3
343,Math,Rocket Gibraltar,Britte,Darby,5
344,Self help,Four Daughters,Naoma,Delores,4
345,biography,The Adventures of André and Wally B.,Leoline,Ricard,2
346,Math,Lifeguard,Donella,Maryanne,1
347,Math,"Music Man, The",Ortensia,Muriel,4
348,Children's,Of Human Hearts,Rhianon,Jami,2
349,Anthology,Divine Horsemen: The Living Gods of Haiti,Cecil,York,5
350,Diaries,"Kennedys, The",Jon,Evin,3
351,Horror,Ivanhoe,Pinchas,Karlyn,3
352,Anthology,Chinese Puzzle (Casse-tête chinois),Symon,Kali,2
353,Health,"Tramp, The (Awaara) (Awara)",Lorine,Lindon,1
354,Horror,Carrie,Elwyn,Antoine,4
355,Art,Majesteit,Delbert,Renault,3
356,Math,Becoming Chaz,Odell,Tallie,2
357,Horror,Dragonheart 3: The Sorcerer's Curse,Celestina,Baron,2
358,Diaries,"Safety of Objects, The",Blisse,Zara,5
359,Art,Damien: Omen II,Randal,Diana,1
360,academic,Napoleon Dynamite,Dania,Iseabal,5
361,Anthology,Adaptation,Benito,Antonio,2
362,Comics,Housekeeping,Nye,Myriam,4
363,Art,The Winslow Boy,Redd,Harlin,2
364,Mystery,Vampire's Kiss,Barb,Avigdor,3
365,Religion,Moving Violations,Kerby,Kordula,2
366,Dictionaries,Siddhartha,Reinold,Dot,3
367,Health,My Sweet Pepper Land,Merilyn,Derril,3
368,Science,Twilight of the Ice Nymphs,Penelope,Cortie,5
369,Science,Abandoned,Malena,Corenda,5
370,Cookbooks,"Desert Fox, The",Borg,Godard,4
371,Math,William S. Burroughs: A Man Within,Wylma,Merci,4
372,Religion,Lost & Found,Constantia,Elizabeth,3
373,Encyclopedias,"Monuments Men, The",Ely,Ryann,3
374,academic,Sweet Charity,Tawsha,Wilburt,4
375,Dictionaries,Bad News Bears,Tommie,Tabor,4
376,Horror,"Hollywood Revue of 1929, The",Maighdiln,Moina,4
377,biography,"Cutting Edge: The Magic of Movie Editing, The",Jaquenette,Berget,3
378,Drama,By Dawn's Early Light,Tandie,Marna,2
379,Encyclopedias,Whisky Galore,Aguistin,Melisa,5
380,Children's,"NeverEnding Story II: The Next Chapter, The",Vivienne,Aimee,3
381,Poetry,Above the Law,Biddie,Carter,4
382,History,Bad Girls,Kipper,Ludvig,1
383,Children's,"Bell, Book and Candle",Norine,Camey,5
384,Diaries,Scorpio,Jacklyn,Gilemette,5
385,Travel,Inequality for All,Reynard,Dorelia,2
386,Religion,"Getaway, The",Alikee,Prince,5
387, Spirituality & New Age,Fear City: A Family-Style Comedy (La cité de la peur),Moishe,Jeanette,1
388,History,"Vampire Bat, The",Fancy,Tobe,2
389,horror,3:10 to Yuma,Elianore,Zack,5
390,academic,Walking on Sunshine,Thoma,Benedict,2
391,Action and Adventure,The Fool,Gabbi,Zuzana,4
392,Religion,Patch Adams,Kacie,Anjanette,3
393,Guide,Home,Chariot,Ibrahim,5
394,Journals,Dark Touch,Chrysa,Cale,3
395,Health,Meet the Spartans,Fayre,Griffith,5
396,Health,Panic,Andrea,Nanni,5
397,Drama,Grill Point (Halbe Treppe),Dar,Ameline,5
398,Science fiction,Last Hurrah for Chivalry (Hao xia),Emmeline,Lalo,2
399,Cookbooks,"Mummy, The",Phebe,Domeniga,3
400,Anthology,Whoopi Goldberg Presents Moms Mabley,Shanda,Linn,2
401,Self help,"Juror, The",Juliane,Kacey,4
402,Drama,I Accuse,Lutero,Leoline,2
403,Journals,Jason and the Argonauts,Neila,Ad,1
404,Poetry,Pascali's Island,Anna-diane,Abbey,5
405,Cookbooks,5x2,Kellsie,Harv,4
406,Art,Where Is Fred!? (Wo ist Fred?),Josepha,Albert,3
407,History,Extraordinary Stories (Historias extraordinarias),Farrell,Doreen,3
408,Comics,Love in the Afternoon (Chloe in the Afternoon)  (L'amour l'après-midi),Faustina,Heidi,4
409,Action and Adventure,Johnny Mad Dog,Seana,Kendall,1
410,Art,Forgetting the Girl,Chloe,Randie,5
411,Romance,New Fist of Fury (Xin jing wu men),Ramona,Jessie,3
412,Action and Adventure,Casper,Dulcia,Delcine,2
413,Science,"Killing of a Chinese Bookie, The",Isidor,Dot,2
414,Dictionaries,"Scarlet Pimpernel, The",Mahmoud,Barbaraanne,1
415,Math,Toni,Michal,Susanna,3
416,Cookbooks,Smoke,Skippie,Dare,5
417,Diaries,"Hit, The",Caryl,Shannon,3
418,Horror,Waiting Women (Kvinnors väntan),Cassondra,Chauncey,4
419,Dictionaries,"Cat's Meow, The",Esme,Davita,3
420,Self help,Unknown,Rock,Janelle,3
421,Satire,Love Affair,Moselle,Matthias,2
422,Guide,Charlie's Angels,Ax,Thia,1
423,Cookbooks,"Man Apart, A",Lissa,Maribelle,3
424, Spirituality & New Age,"Barchester Chronicles, The",Tessie,Aveline,5
425,Religion,"Bridge, The (Die Brücke)",Tremain,Claresta,3
426,Guide,Red River,Michell,Thibaut,5
427,Art,"Bittersweet Life, A (Dalkomhan insaeng)",Jayson,Ema,5
428, Spirituality & New Age,"Golden Compass, The",Tobe,Silvia,1
429,Action and Adventure,Crazy Mama,Chiquia,Clerkclaude,2
430,Guide,You and Me (Ty i ya),Avril,Cecile,1
431,academic,"Pear Tree, The (Derakhte Golabi)",Edd,Sheba,3
432,Mystery,Brother of Sleep (Schlafes Bruder),Lea,Nev,3
433,Diaries,"Armwrestler From Solitude, The (Armbryterskan från Ensamheten)",Chester,Annmaria,2
434,Drama,Nick the Sting,Minna,Suzann,3
435,Math,Twice Born (Venuto al mondo),Banky,Berkeley,2
436,Math,Clown,Michelle,Stephani,3
437,Diaries,Impulse,Sharron,Vicki,5
438,Drama,"White Reindeer, The (Valkoinen peura)",Tiphany,Ronnie,1
439,Children's,Hollywood or Bust,Glenden,Aldric,3
440,Romance,Plastic Bag,Jose,Holly-anne,2
441,Travel,"Short Game, The",Joice,Sibyl,5
442,Science fiction,Dreamer: Inspired by a True Story,Leeann,Jeramie,2
443,Comics,Sun Don't Shine,Amandi,Thaine,1
444,Comics,"Sweeney, The",Leonerd,Letisha,5
445,Encyclopedias,Fever Pitch,Charyl,Jelene,4
446,Diaries,Panda! Go Panda! (Panda kopanda),Demetrius,Tobias,1
447,Satire,Panda! Go Panda! (Panda kopanda),Ibbie,Caprice,4
448,Action and Adventure,Magic Camp,Tabby,Gaylor,5
449,Cookbooks,Semper Fi,Olenka,Mallory,5
450,Diaries,Bang,Glenna,Hermie,5
451,Children's,Dim Sum: A Little Bit of Heart,Chaunce,Melonie,1
452,Poetry,"Sorcerer's Apprentice, The",Betta,Rosy,5
453,Satire,Snatch,Turner,Talbert,2
454,horror,"Wizard of Baghdad, The",Catrina,Danica,5
455,Comics,La Rabbia,Liva,Merridie,3
456,Horror,Titanic,Wenda,Dicky,5
457,Religion,"Guy and a Gal, A (En kille och en tjej)",Darcee,Emalee,4
458,Self help,Maelström,Cinnamon,Edan,1
459,Encyclopedias,Howard Zinn: You Can't Be Neutral on a Moving Train,Natalee,Vivien,4
